timestamp,container,cpu_pct,mem_usage,mem_pct
2026-04-20T18:03:35Z,1ce7a3d06cdb6246f9fc70fa7ff48153c171c197f110f456297e0e7a4e2165eb,0.00%,8.105MiB / 512MiB,1.58%
2026-04-20T18:03:35Z,d6b977384d80c3a57cfb54c5a9c581d5ca880d76c2c1f2bd9cd67f490f67ae25,0.27%,117.4MiB / 2GiB,5.73%
2026-04-20T18:03:35Z,8d5fca34d5443b21d1761f5661daef07d2d9d7e1cb72b8177fe05670e9ae3ba8,0.79%,321.4MiB / 2GiB,15.69%
2026-04-20T18:03:35Z,78eea2df72e77ee0a3b90c68c32171bd6c09ef412139c638b90d4151abbf6f72,2.08%,7.48MiB / 1GiB,0.73%
2026-04-20T18:03:35Z,49b7e2540ff41fa5fef1bd0442ec50cc6a18f1780a6fc0a13bd1aa3c2de5f536,0.03%,9.883MiB / 512MiB,1.93%
2026-04-20T18:03:35Z,10c8496a280e3ec370eaf98ce0db6f74ebfc25b13118e4608a510cc2fb034794,0.04%,46.32MiB / 4GiB,1.13%
2026-04-20T18:03:35Z,707bd8a231a551b4a56b4248ed1915e574f25be6b63f66effcd1ed4f404a2dda,0.00%,47.72MiB / 512MiB,9.32%
2026-04-20T18:03:35Z,8c240331e94a063d2b64a8b8a9cb0a2380a64790faabc2f4f55ae505f342d41e,1.82%,277.8MiB / 1GiB,27.13%
2026-04-20T18:03:35Z,735f81c8f13e50c17f76e4a237e3d2d6805825cdb4495792c497889c396d270f,0.50%,268.8MiB / 1GiB,26.25%
2026-04-20T18:03:35Z,8b1931ea1977ce92f55d0a98e568c5cce0d52bd6750daa20d38ddddecab31302,3.06%,313.7MiB / 1GiB,30.63%
2026-04-20T18:03:35Z,89bf1864880be1818a9b138f876fe913b8dc653649d8367ab356d0d8cb416d55,0.00%,46.77MiB / 31.3GiB,0.15%
2026-04-20T18:04:08Z,8da66479234942dc009ec84e8a3400ff772c3a81a7d3cff0bc9692b5e242bf92,14.51%,355MiB / 12GiB,2.89%
